id,Hardness
6400,90.0
6401,124.0
6402,120.0
6403,65.0
6404,500.0
6405,160.0
6406,220.0
6407,220.0
6408,300.0
6409,63.0
6410,99.0
6411,190.0
6412,417.0
6413,82.0
6414,240.0
6415,320.0
6416,110.0
6417,140.0
6418,262.0
6419,99.0
6420,276.0
6421,198.0
6422,110.0
6423,64.0
6424,486.0
6425,460.0
6426,300.0
6427,34.0
6428,77.0
6429,318.0
6430,320.0
6431,350.0
6432,115.0
6433,740.0
6434,220.0
6435,39.0
6436,190.0
6437,320.0
6438,78.3
6439,707.0
6440,106.0
6441,270.0
6442,77.0
6443,83.0
6444,200.0
6445,220.0
6446,97.9
6447,81.0
6448,190.0
6449,190.0
6450,316.0
6451,180.0
6452,234.0
6453,220.0
6454,148.0
6455,184.0
6456,540.0
6457,120.0
6458,190.0
6459,110.0
6460,250.0
6461,320.0
6462,168.0
6463,65.5
6464,210.0
6465,274.019
6466,49.6
6467,200.0
6468,93.0
6469,62.1
6470,280.0
6471,290.0
6472,180.0
6473,120.0
6474,250.0
6475,290.0
6476,83.0
6477,500.0
6478,130.0
6479,270.0
6480,170.0
6481,67.0
6482,187.0
6483,160.0
6484,77.0
6485,260.0
6486,97.7
6487,7.7
6488,310.0
6489,380.0
6490,181.0
6491,78.3
6492,130.0
6493,140.0
6494,350.0
6495,490.0
6496,86.0
6497,29.0
6498,140.0
6499,240.0
6500,594.0
6501,160.0
6502,150.0
6503,250.0
6504,390.0
6505,560.0
6506,48.0
6507,260.0
6508,180.0
6509,220.0
6510,43.0
6511,150.0
6512,308.0
6513,77.0
6514,150.0
6515,320.0
6516,130.0
6517,56.0
6518,135.0
6519,158.0
6520,125.0
6521,280.0
6522,205.0
6523,85.0
6524,260.0
6525,135.0
6526,110.0
6527,91.0
6528,89.0
6529,170.0
6530,190.0
6531,250.0
6532,230.0
6533,64.0
6534,140.0
6535,240.0
6536,565.0
6537,350.0
6538,140.0
6539,250.0
6540,256.0
6541,220.0
6542,22.0
6543,237.0
6544,506.0
6545,706.0
6546,80.0
6547,390.0
6548,150.0
6549,181.0
6550,110.0
6551,75.0
6552,88.0
6553,410.0
6554,99.0
6555,150.0
6556,77.0
6557,110.0
6558,103.0
6559,98.0
6560,120.0
6561,190.0
6562,140.0
6563,184.0
6564,160.0
6565,110.0
6566,140.0
6567,130.0
6568,104.0
6569,210.0
6570,61.0
6571,240.0
6572,420.0
